Time(ms),AccX(0)[G],AccY(0)[G],AccZ(0)[G],GyrX(0)[deg/s],GyrY(0)[deg/s],GyrZ(0)[deg/s],MagX(0)[uT],MagY(0)[uT],MagZ(0)[uT],Roll(0)[deg],Pitch(0)[deg],Yaw(0)[deg],Qw(0),Qx(0),Qy(0),Qz(0),
0.000000,0.944,-0.213,-0.056,5.10,1.40,-0.40,-21.00,-30.30,28.10,-110.55,-73.96,-109.69,0.142,0.658,-0.339,0.657,
0.000000,0.936,-0.205,-0.067,8.10,1.30,0.50,-21.20,-30.50,28.10,-110.25,-73.96,-109.82,0.141,0.658,-0.339,0.657,
0.000000,0.939,-0.300,-0.145,-3.20,-1.90,-0.70,-20.70,-31.00,28.50,-110.30,-73.97,-109.77,0.141,0.658,-0.338,0.657,
0.000000,0.936,-0.252,-0.059,-6.20,-0.30,-1.10,-20.90,-30.80,28.10,-110.54,-73.98,-109.66,0.142,0.658,-0.339,0.657,
0.000000,0.940,-0.181,-0.079,-0.30,0.60,0.80,-20.80,-30.90,28.30,-110.51,-74.04,-109.72,0.143,0.658,-0.339,0.657,
0.000000,0.931,-0.296,-0.121,-4.70,-2.30,0.60,-20.40,-30.90,28.40,-110.65,-74.01,-109.64,0.143,0.658,-0.339,0.657,
0.000000,0.958,-0.351,-0.145,-7.20,-1.80,-0.50,-20.90,-30.80,28.50,-110.96,-74.00,-109.47,0.144,0.658,-0.340,0.656,
0.000000,0.948,-0.221,-0.075,3.30,1.30,0.70,-20.60,-30.60,28.00,-110.82,-74.01,-109.61,0.144,0.658,-0.340,0.656,
0.000000,0.940,-0.201,-0.079,7.50,0.40,1.20,-21.10,-30.60,28.10,-110.57,-73.99,-109.70,0.143,0.658,-0.340,0.657,
0.000000,0.923,-0.311,-0.121,2.30,-0.30,-0.80,-20.90,-30.60,28.20,-110.52,-73.87,-109.68,0.141,0.658,-0.340,0.657,
0.000000,0.935,-0.276,-0.086,3.70,2.20,-1.60,-20.60,-30.60,28.30,-110.40,-73.92,-109.75,0.141,0.658,-0.339,0.657,
0.000000,0.964,-0.158,-0.052,6.70,2.40,0.00,-21.00,-30.80,28.50,-110.10,-73.94,-109.92,0.141,0.658,-0.338,0.658,
0.000000,0.931,-0.307,-0.129,-3.90,-2.40,0.00,-20.70,-30.30,28.30,-110.15,-74.06,-109.88,0.142,0.658,-0.338,0.658,
0.000000,0.950,-0.415,-0.172,-11.00,-3.00,-1.90,-20.70,-30.60,28.20,-110.62,-74.06,-109.61,0.143,0.658,-0.339,0.657,
0.000000,0.941,-0.150,-0.032,4.90,2.60,-0.40,-21.10,-30.60,28.20,-110.50,-74.16,-109.74,0.143,0.658,-0.338,0.657,
0.000000,0.940,-0.157,-0.059,13.90,2.00,1.70,-20.70,-30.20,28.40,-110.00,-74.15,-109.97,0.142,0.658,-0.337,0.658,
0.000000,0.931,-0.355,-0.140,-1.30,-3.50,-0.40,-20.80,-30.20,28.20,-110.09,-74.13,-109.82,0.141,0.659,-0.337,0.658,
0.000000,0.951,-0.308,-0.083,-6.20,-2.40,-1.70,-20.90,-30.50,28.40,-110.42,-74.08,-109.60,0.142,0.659,-0.338,0.657,
0.000000,0.960,-0.166,-0.075,1.70,0.20,0.90,-20.90,-30.80,28.20,-110.42,-74.07,-109.60,0.142,0.659,-0.338,0.657,
0.000000,0.935,-0.272,-0.098,-3.80,-1.40,0.80,-20.90,-30.70,28.20,-110.44,-74.03,-109.61,0.142,0.659,-0.338,0.657,
0.000000,0.947,-0.343,-0.133,-9.00,-1.60,-1.30,-20.70,-31.30,28.30,-110.75,-74.03,-109.46,0.143,0.659,-0.339,0.656,
